dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01001790,5976,6348,6004,5765,5746,1296,5824,5975
Data Zone S01001791,5686,5535,5797,6334,5988,991,5704,6487
Data Zone S01001792,5579,4882,4552,4806,5803,4933,5457,4748
Data Zone S01001793,5210,5077,4404,3741,5695,4336,4274,3575
Data Zone S01001794,5201,4276,4883,3573,5554,4695,4328,5362
Data Zone S01001795,5900,6278,6192,6421,5959,1052,4056,4456
Data Zone S01001796,6232,6488,6327,5751,6258,1617,6491,5254
Data Zone S01001797,3715,3354,3489,3670,2773,3787,2192,4758
Data Zone S01001798,6287,6493,6314,6301,6478,1626,6447,4971
Data Zone S01001799,371,330,485,1019,157,3099,785,975
Data Zone S01001800,5121,5180,5278,5179,5329,892,5237,5754
Data Zone S01001801,5975,6371,6377,6313,6387,814,5663,5325
Data Zone S01001802,4348,3751,4234,4604,3984,2182,4491,4610
Data Zone S01001803,5442,5325,5620,5915,4622,1560,4941,4747
Data Zone S01001804,4718,4232,3959,4052,4746,4533,4214,3245
Data Zone S01001805,4640,4789,4194,3242,4092,4224,3134,3168
Data Zone S01001806,5596,4944,5207,5688,5739,3649,5190,2447
Data Zone S01001807,5891,5750,5229,4449,5820,4612,6042,3483
Data Zone S01001808,2652,2954,2851,3669,1215,4526,2293,853
Data Zone S01001809,565,557,668,541,390,5536,709,1269
Data Zone S01001810,5263,4716,4691,5847,5086,2909,4183,3933
Data Zone S01001811,6258,6331,6248,6255,6486,1493,6478,6148
Data Zone S01001812,6431,6469,6398,6447,6485,2070,6505,6372
Data Zone S01001813,6294,6180,5684,6156,6234,2701,6108,6177
Data Zone S01001814,6091,6368,6085,5477,4995,2561,5060,4624
Data Zone S01001815,5221,5623,4597,4950,6092,1491,6021,3730
Data Zone S01001816,6198,6223,5961,6292,6501,1716,6284,5239
Data Zone S01001817,1365,1657,1754,1768,532,3339,1094,850
Data Zone S01001818,6423,6121,6425,6266,6414,2666,5538,6211
Data Zone S01001819,6121,6386,6322,6445,6475,1039,6327,5427
Data Zone S01001820,789,614,1147,1060,520,5315,651,671
Data Zone S01001821,4261,4547,5065,4347,1492,3032,6059,3681
Data Zone S01001822,4877,4355,5220,4860,3772,2816,3577,3096
Data Zone S01001823,859,1164,1334,484,403,5106,569,593
Data Zone S01001824,3701,2687,3215,3594,3695,5810,2883,4818
Data Zone S01001825,5556,5663,5637,6133,5664,1142,5379,4136
Data Zone S01001826,941,902,747,1298,1033,4676,871,1400
Data Zone S01001827,1649,1376,2062,2127,816,5755,875,1821
Data Zone S01001828,6099,6367,6415,6402,6213,977,5790,6232
Data Zone S01001829,5033,4885,4936,4736,6139,1463,3503,3849
Data Zone S01001830,6282,6035,6027,6119,6120,2840,5673,4670
Data Zone S01001831,3482,2653,3202,3552,4187,4532,1297,3528
Data Zone S01001832,1576,1716,1958,2004,960,3653,902,540
Data Zone S01001833,6328,6219,6302,6422,6471,1891,5955,5945
Data Zone S01001834,2383,2037,2073,2266,2464,5485,1294,4210
Data Zone S01001835,6259,6005,6173,6458,5964,2412,4985,4928
Data Zone S01001836,5655,5971,5813,5635,6143,1199,5166,3526
Data Zone S01001837,6292,5742,6022,6330,6220,3465,6065,4034
Data Zone S01001838,2390,2136,2637,3908,1319,3147,1245,2980
Data Zone S01001839,1106,1019,1433,601,1606,5125,833,401
Data Zone S01001840,6137,6209,6330,6107,6295,1771,6439,3329
Data Zone S01001841,4420,3254,4060,5023,4177,3829,2428,5658
Data Zone S01001842,6082,5813,5948,5993,4998,3225,5870,4120
Data Zone S01001843,775,698,432,1493,1270,5904,860,1141
Data Zone S01001844,6227,6369,6416,6347,5699,1629,5754,5452
Data Zone S01001845,6260,6451,6361,6222,6356,1438,5416,6225
Data Zone S01001846,6407,5999,6339,5937,5980,3551,5504,5878
Data Zone S01001847,1302,1413,1425,1082,822,5798,1278,1240
Data Zone S01001848,1439,1365,1538,1041,1437,4806,1231,1799
Data Zone S01001849,6202,5664,6102,6382,6487,2083,6301,5439
Data Zone S01001850,4633,3283,4917,4464,3741,6126,2031,3375
Data Zone S01001851,5569,5072,5570,5052,5080,4739,5563,1591
Data Zone S01001852,6157,6333,5978,6357,5570,2436,5556,3316
Data Zone S01001853,6487,6484,6426,5932,6464,4069,6198,5117
Data Zone S01001854,4684,4248,5792,3112,3001,3239,3737,4729
Data Zone S01001855,6169,5907,6221,5797,5093,3315,5918,3856
Data Zone S01001856,1324,882,1158,2091,1770,4995,1416,1833
Data Zone S01001857,2684,2722,3064,1465,2758,4938,2532,1271
Data Zone S01001858,5545,4331,5532,4011,5945,5325,6107,3525
Data Zone S01001859,1467,1687,1670,1696,850,4091,1167,768
Data Zone S01001860,6494,6474,6402,6423,6458,3824,6165,6150
Data Zone S01001861,1320,1356,1500,2529,1731,2469,628,63
Data Zone S01001862,6131,6156,6151,6319,5445,2826,5362,2556
Data Zone S01001863,5736,6111,5743,5333,4542,2705,5015,2896
Data Zone S01001864,698,556,987,519,930,3542,1733,800
Data Zone S01001865,307,427,139,720,662,4684,1537,283
Data Zone S01001866,6128,6269,6218,6225,6432,1346,5454,5134
Data Zone S01001867,1744,1922,1952,1871,861,3502,1385,2933
Data Zone S01001868,4091,4212,3773,2554,5294,2841,5113,2365
