DataSupplierCode,GR,GR,GR,GR
IndicatorIdentifier,GR-denominatorindP,GR-Percchild,GR-Percpens,GR-Percwork
SystemID,"GR-denominatorindP","GR-Percchild","GR-Percpens","GR-Percwork"
Identifier,"GR-denominatorindP","GR-Percchild","GR-Percpens","GR-Percwork"
DateType,"A","A","A","A"
Publisher,"","","",""
Description,"These figures are the results from the 2001 Census in Scotland. They are final figures of the resident population as at Census Day, 29 April 2001, after adjusting for estimated under-enumeration in the Census. The Census results have been adjusted to take account of estimated underenumeration in the Census based on the One Number Census methodology, which used the results of the Census Coverage Survey. As a result of the adjustments for underenumeration and changes to the definition of the resident population, it is not appropriate to compare directly the results from the 2001 Census with earlier Censuses. More information on this is available on the National Records of Scotland's website . The resident population of Scotland on Census Day (29 April 2001) was 5,062,011, of which 52 per cent were female and 48 per cent were male. Children aged 15 and under accounted for 19 per cent of the population, people of working age (16-59F/64M) accounted for 62 per cent, and people of retirement age (60F/65M +) accounted for the remaining 19 per cent. More detailed Census results are now available via the SCROL website .","These figures are the results from the 2001 Census in Scotland. They are final figures of the resident population as at Census Day, 29 April 2001, after adjusting for estimated under-enumeration in the Census. The Census results have been adjusted to take account of estimated underenumeration in the Census based on the One Number Census methodology, which used the results of the Census Coverage Survey. As a result of the adjustments for underenumeration and changes to the definition of the resident population, it is not appropriate to compare directly the results from the 2001 Census with earlier Censuses. More information on this is available on the National Records of Scotland's website . The resident population of Scotland on Census Day (29 April 2001) was 5,062,011, of which 52 per cent were female and 48 per cent were male. Children aged 15 and under accounted for 19 per cent of the population, people of working age (16-59F/64M) accounted for 62 per cent, and people of retirement age (60F/65M +) accounted for the remaining 19 per cent. More detailed Census results are now available via the SCROL website ","These figures are the results from the 2001 Census in Scotland. They are final figures of the resident population as at Census Day, 29 April 2001, after adjusting for estimated under-enumeration in the Census. The Census results have been adjusted to take account of estimated underenumeration in the Census based on the One Number Census methodology, which used the results of the Census Coverage Survey. As a result of the adjustments for underenumeration and changes to the definition of the resident population, it is not appropriate to compare directly the results from the 2001 Census with earlier Censuses. More information on this is available on the National Records of Scotland's website . The resident population of Scotland on Census Day (29 April 2001) was 5,062,011, of which 52 per cent were female and 48 per cent were male. Children aged 15 and under accounted for 19 per cent of the population, people of working age (16-59F/64M) accounted for 62 per cent, and people of retirement age (60F/65M +) accounted for the remaining 19 per cent. More detailed Census results are now available via the SCROL website ","These figures are the results from the 2001 Census in Scotland. They are final figures of the resident population as at Census Day, 29 April 2001, after adjusting for estimated under-enumeration in the Census. The Census results have been adjusted to take account of estimated underenumeration in the Census based on the One Number Census methodology, which used the results of the Census Coverage Survey. As a result of the adjustments for underenumeration and changes to the definition of the resident population, it is not appropriate to compare directly the results from the 2001 Census with earlier Censuses. More information on this is available on the National Records of Scotland's website . The resident population of Scotland on Census Day (29 April 2001) was 5,062,011, of which 52 per cent were female and 48 per cent were male. Children aged 15 and under accounted for 19 per cent of the population, people of working age (16-59F/64M) accounted for 62 per cent, and people of retirement age (60F/65M +) accounted for the remaining 19 per cent. More detailed Census results are now available via the SCROL website "
Rights,"","","",""
Creator,"National Records of Scotland","National Records of Scotland","National Records of Scotland","National Records of Scotland"
Subject,"Population","Population","Population","Population"
SNSTopic,"Persons","Persons","Persons","Persons"
Title,"2001 Census Day Population","2001 Census Day Population - Percentage Children","2001 Census Day Population - Percentage Pensioners","2001 Census Day Population - Percentage Working Age"
ShortTitle,"Total Population (all ages)","Percentage Children","Percentage Pensioners","Percentage Working Age"
ValueType,"count","ratio","ratio","ratio"
Accessibility,"public ","public ","public ","public "
DisplayPicture,"999999999","999.99","999.99","999.99"
CanSpatiallyAggregate,"True","True","True","True"
DenominatorIndicator,"","GR-denominatorindP","GR-denominatorindP","GR-denominatorindP"
Factor,"1","100","100","100"
TotalIndicator,"","","",""
UnitOfMeasurement,"","percentage","percentage","percentage"
UpdateMode,"False","False","False","False"
Coverage,"","","",""
Aggregation,"","","",""
Acquired,"","","",""
Available,19/10/2011 00:00:00,19/10/2011 00:00:00,19/10/2011 00:00:00,19/10/2011 00:00:00
Format,"","","",""
UploaderEmail,"","","",""
ConceptsAndDefinitions,"","","",""
GeographicReferencing,"","","",""
Relevance,"","","",""
Accuracy,"","","",""
Comparability,"","","",""
DisclosureControl,"","","",""
HelpEmail,"","","",""
AdditionalInformation,"","","",""
